custom_id,topic,audience
line-0001,الإتقان والجودة,للمراهقين
line-0002,الصداقة الصادقة,للطلاب
line-0003,الإحسان إلى الأسرة,للموظفين
line-0004,الوقاية من الغيبة والنميمة,لرواد الأعمال
line-0005,الشجاعة الأدبية,للطلاب
line-0006,محاسبة النفس,لرواد الأعمال
line-0007,إتقان العمل عن بُعد,للطلاب
line-0008,الإتقان والجودة,للآباء والأمهات
line-0009,الرفق بالحيوان,للطلاب
line-0010,تصفية القلب من الحقد,لرواد الأعمال
line-0011,إدارة الضغوط النفسية,لرواد الأعمال
line-0012,أدب الحوار,للمراهقين
line-0013,محاسبة النفس,للمراهقين
line-0014,الدعاء في السجود,للموظفين
line-0015,الالتزام بالوعد,للمراهقين
line-0016,قيمة العمل,للموظفين
line-0017,فضل الدعاء,للمراهقين
line-0018,العناية بالصحة كأمانة,للطلاب
line-0019,الإحسان في العمل,للآباء والأمهات
line-0020,العدل والإنصاف,للآباء والأمهات
line-0021,الرضا بالقضاء والقدر,للمراهقين
line-0022,الصداقة الصادقة,لرواد الأعمال
line-0023,الثقة بالله,للمراهقين
line-0024,التوبة والاستغفار,للطلاب
line-0025,التوازن بين الدنيا والآخرة,للطلاب
line-0026,العمل التطوعي,للآباء والأمهات
line-0027,التوكل على الله,لرواد الأعمال
line-0028,حسن الاستماع,للموظفين
line-0029,فضل الدعاء,لرواد الأعمال
line-0030,الثقة بالله,للآباء والأمهات
line-0031,حب الخير للناس,للمراهقين
line-0032,التثبت من الأخبار,لرواد الأعمال
line-0033,استخدام السوشال ميديا بتوازن,للمراهقين
line-0034,تنمية العادات الحسنة,للموظفين
line-0035,فقه الأولويات,للآباء والأمهات
line-0036,تحمل المسؤولية,للآباء والأمهات
line-0037,الصدق في القول والعمل,لرواد الأعمال
line-0038,الشكر ومقامات الحمد,للموظفين
line-0039,صلة الرحم,للموظفين
line-0040,آداب الطريق,للطلاب
line-0041,طلب العلم,للآباء والأمهات
line-0042,الصدقة وأثرها,للمراهقين
line-0043,الطمأنينة بالصلاة,لرواد الأعمال
line-0044,الاستمرار بعد الإخفاق,للموظفين
line-0045,التسامح والعفو,للمراهقين
